product_id,resource_id,resource_description,priority,multihash,hash_source_type,resource_urls,content_type
PROD-01F4MK4ZYC6P9EGG4W0DNFQTWS,Card,Low Resolution Card,0,QmZ43MdtaZ98CHUcgS16mhjdm9CkVnRduMjmbFLR6tXiyv,ipfs,"{https://api.rektangularstudios.com/static/5o285q0f9dqz/resource/card_low.jpg,ipfs://QmZ43MdtaZ98CHUcgS16mhjdm9CkVnRduMjmbFLR6tXiyv,sia://PAFIkGTYhJrCzUFNxfSkIMF_nfoeI9M1myRk2_3ZO3p1cQ}",image/jpeg
PROD-01F4MK4ZYC6P9EGG4W0DNFQTWS,Card,High Resolution Card,1,QmRHEcVudUTAegNRCXdmBq3a3WkkngTZRxbG6jsXJxBMgf,ipfs,"{https://api.rektangularstudios.com/static/5o285q0f9dqz/resource/card.png,ipfs://QmRHEcVudUTAegNRCXdmBq3a3WkkngTZRxbG6jsXJxBMgf,sia://AADz5maASFMkF0Pn4xsRvnwEWMdkThRzqGzRmMq519a6Gw}",image/png
PROD-01F4MK4ZYC6P9EGG4W0DNFQTWS,Artwork,Low Resolution Artwork,0,QmXGjUZA6tEf3PWdmADfeJVEQnP7GkWLwE8zxxxta1Apix,ipfs,"{https://api.rektangularstudios.com/static/5o285q0f9dqz/resource/artwork_low.jpg,ipfs://QmXGjUZA6tEf3PWdmADfeJVEQnP7GkWLwE8zxxxta1Apix,sia://DAC0wCeCbkh7Rz2EZKr7A2XyqLiu9lXDkZsuSvrmjk8-Zg}",image/jpeg
PROD-01F4MK4ZYC6P9EGG4W0DNFQTWS,Artwork,High Resolution Artwork,1,QmR66RnBEFAmKLhWRTm1iM6C1RwJP6C1mwrr9L5jrDqG1N,ipfs,"{https://api.rektangularstudios.com/static/5o285q0f9dqz/resource/artwork.png,ipfs://QmR66RnBEFAmKLhWRTm1iM6C1RwJP6C1mwrr9L5jrDqG1N,sia://AADZ3VYVgJUBS3lwLdGPPaO6GTJy-_TZgGvtgLL55uHetA}",image/png
PROD-01F4MK4ZYC6P9EGG4W0DNFQTWS,Video,Video of artwork creation process,0,QmXK4xgR28JuU7f743wuxQVEvx8ngFMNW5fSK1F1zmCGff,ipfs,"{https://api.rektangularstudios.com/static/5o285q0f9dqz/resource/video.mp4,ipfs://QmXK4xgR28JuU7f743wuxQVEvx8ngFMNW5fSK1F1zmCGff,sia://AACG819Y6AmMRxrrVTWfugSZCGMSZTM9MJr05buVNTOrrQ}",video/mp4
PROD-01F4MK4ZYC6P9EGG4W0DNFQTWS,OccultaNovelliaCharacter,Occulta Novellia collectible character information such as stats and moves,0,QmWNRP42LrEW1xXb2ziiMeMXjBvrX3RBN5iW4VP8ESapCR,ipfs,"{https://api.rektangularstudios.com/static/5o285q0f9dqz/resource/character.json,ipfs://QmWNRP42LrEW1xXb2ziiMeMXjBvrX3RBN5iW4VP8ESapCR,sia://AABIATywB4GOmny5PVmDY2GMih74X576Zs5SWborkMCGEA}",application/json
PROD-01F5YTNB4BSBKPGRKHVHEM9F0F,Card,Low Resolution Card,0,QmUZCkZ8FEzrYxCVgYQ82MsZWTb7HEHXbhA5Cd6DW4kn7r,ipfs,"{https://api.rektangularstudios.com/static/4y85a32w00dk/resource/card_low.jpg,ipfs://QmUZCkZ8FEzrYxCVgYQ82MsZWTb7HEHXbhA5Cd6DW4kn7r}",image/jpeg
PROD-01F5YTNB4BSBKPGRKHVHEM9F0F,Card,High Resolution Card,1,QmTk7X4X9NNJWwrURGcuC2Q4zLsM8MpLUcMjRTpEvh8gyn,ipfs,"{https://api.rektangularstudios.com/static/4y85a32w00dk/resource/card.png,ipfs://QmTk7X4X9NNJWwrURGcuC2Q4zLsM8MpLUcMjRTpEvh8gyn}",image/png
PROD-01F4NAFJCAG5JDEGMR0XQARBW2,Card,Low Resolution Card,0,QmPFJ1mvxCnwQKGqbiMixKcppz8Mr2cneNu7DcwhKq58qc,ipfs,"{https://api.rektangularstudios.com/static/xzxjafhz8qez/resource/card_low.jpg,ipfs://QmPFJ1mvxCnwQKGqbiMixKcppz8Mr2cneNu7DcwhKq58qc}",image/jpeg
PROD-01F4NAFJCAG5JDEGMR0XQARBW2,Card,High Resolution Card,1,QmcKvBCTJrxUocoLX4EDKd95uFLBCTSMFN3KP2w3enVf4a,ipfs,"{https://api.rektangularstudios.com/static/xzxjafhz8qez/resource/card.png,ipfs://QmcKvBCTJrxUocoLX4EDKd95uFLBCTSMFN3KP2w3enVf4a}",image/png
PROD-01F4NAF8MANXDT26MGA5E0QXNJ,Card,Low Resolution Card,0,QmfXyVMz5oytZwrqT9ZCJRHpnY4HZQM1ZgnUPR4pR8qoSp,ipfs,"{https://api.rektangularstudios.com/static/iwqw13wtrnqj/resource/card_low.jpg,ipfs://QmfXyVMz5oytZwrqT9ZCJRHpnY4HZQM1ZgnUPR4pR8qoSp}",image/jpeg
PROD-01F4NAF8MANXDT26MGA5E0QXNJ,Card,High Resolution Card,1,QmThb6PPKBDP7eRPG8gpgdRBH5Lx3bXV6ngVAFeHVniG3E,ipfs,"{https://api.rektangularstudios.com/static/iwqw13wtrnqj/resource/card.png,ipfs://QmThb6PPKBDP7eRPG8gpgdRBH5Lx3bXV6ngVAFeHVniG3E}",image/png
